dt,Kabul,Luanda,Melbourne,Sydney,Dhaka,Belo Horizonte,Brasília,Fortaleza,Rio De Janeiro,Sao Paulo,Salvador,Rangoon,Montreal,Toronto,Santiago,Changchun,Chengdu,Chongqing,Dalian,Guangzhou,Harbin,Jinan,Nanjing,Peking,Shanghai,Shenyang,Taipei,Taiyuan,Tangshan,Tianjin,Wuhan,Xian,Bogotá,Cali,Kinshasa,Santo Domingo,Alexandria,Cairo,Gizeh,Addis Abeba,Paris,Berlin,Ahmadabad,Bangalore,Bombay,Calcutta,Delhi,Hyderabad,Jaipur,Kanpur,Lakhnau,Madras,Nagpur,New Delhi,Pune,Surat,Jakarta,Surabaya,Mashhad,Baghdad,Rome,Abidjan,Nagoya,Tokyo,Nairobi,Mexico,Casablanca,Ibadan,Kano,Lagos,Faisalabad,Karachi,Lahore,Lima,Manila,Moscow,Saint Petersburg,Jiddah,Riyadh,Dakar,Singapore,Mogadishu,Cape Town,Durban,Seoul,Madrid,Umm Durman,Aleppo,Dar Es Salaam,Bangkok,Ankara,Istanbul,Izmir,Kiev,London,Chicago,Los Angeles,New York,Ho Chi Minh City,Harare
1833-11-01,10.029,,,,23.535,23.889,23.788,,24.665,22.671,26.274,26.567,-1.872,0.595,,-3.029,6.703,,,,-4.924,,,4.731,,0.584,,0.743,5.067,4.731,,,,,,,19.35,18.718,18.718,,6.387,3.999,24.675,22.934,27.56,23.173,20.982,23.094,21.659,20.163,20.163,24.982,21.557,20.982,22.423,24.039,,,8.297,17.113,7.237,,,,,,14.411,,,,19.612,24.335,19.612,,,-0.281,2.824,,,,,,,,,7.207,,11.808,,26.418,4.863,9.734,14.11,0.714,5.963,7.478,,2.833,,
1833-12-01,3.85,,,,19.227,23.326,22.605,,25.36,22.915,25.959,24.422,-7.835,-3.397,,-13.591,1.281,,,,-16.151,,,-3.307,,-8.766,,-7.203,-2.524,-3.307,,,,,,,15.272,13.938,13.938,,6.491,4.56,20.685,22.827,25.978,19.192,15.466,22.358,16.627,15.266,15.266,24.682,19.136,15.466,20.691,20.774,,,2.344,10.842,4.765,,,,,,10.107,,,,13.544,19.225,13.544,,,-7.658,-5.867,,,,,,,,,4.507,,6.834,,24.611,0.924,7.328,11.948,-2.715,6.385,3.785,,-0.918,,
1834-01-01,-0.106,,,,17.18,22.143,21.094,,25.14,21.928,24.716,22.403,-13.54,-8.832,,-19.371,-1.999,,,,-22.113,,,-7.703,,-14.288,,-11.387,-6.725,-7.703,,,,,,,12.86,11.551,11.551,,6.41,3.659,17.97,21.613,22.826,17.519,12.853,21.75,14.147,13.132,13.132,23.484,18.035,12.853,19.135,18.678,,,-1.909,8.045,4.682,,,,,,9.99,,,,10.534,16.03,10.534,,,-13.206,-12.483,,,,,,,,,5.089,,4.756,,23.227,-1.196,5.57,10.369,-6.105,6.626,-1.741,,-4.558,,
1834-02-01,3.369,,,,21.19,23.008,22.146,,26.222,22.654,26.069,25.358,-7.902,-3.298,,-13.161,2.057,,,,-15.413,,,-2.355,,-8.729,,-5.325,-1.502,-2.355,,,,,,,12.923,12.879,12.879,,3.921,1.156,21.568,24.365,23.858,21.595,17.063,25.071,18.247,17.465,17.465,25.552,21.505,17.063,22.43,22.528,,,0.754,9.79,3.379,,,,,,10.763,,,,14.514,20.107,14.514,,,-9.858,-6.387,,,,,,,,,4.693,,4.746,,26.362,-2.484,2.456,8.265,-7.373,4.895,4.952,,1.475,,
1834-03-01,8.918,,,,25.633,22.501,22.267,,25.627,21.798,26.212,28.582,-4.09,-2.158,,-2.185,7.531,,,,-3.606,,,6.256,,0.84,,3.533,6.49,6.256,,,,,,,15.599,16.913,16.913,,6.896,4.153,26.493,27.107,25.788,26.361,23.042,28.703,23.954,23.447,23.447,27.97,26.187,23.042,26.356,27.201,,,7.714,16.645,5.446,,,,,,14.368,,,,20.15,25.085,20.15,,,-2.664,-3.537,,,,,,,,,8.018,,11.112,,28.853,4.386,6.653,10.716,0.313,6.796,4.238,,3.307,,
1834-04-01,13.462,,,,27.548,20.757,21.393,,24.248,19.525,24.962,29.154,4.549,5.972,,6.333,10.751,,,,5.514,,,12.599,,7.665,,9.188,12.219,12.599,,,,,,,17.424,20.134,20.134,,8.795,7.277,29.938,27.045,26.721,28.968,28.391,30.618,29.068,28.57,28.57,29.4,30.449,28.391,28.254,29.822,,,11.435,21.032,8.455,,,,,,16.054,,,,25.579,27.882,25.579,,,2.909,1.378,,,,,,,,,9.794,,15.026,,28.802,8.531,9.941,13.453,5.86,7.396,9.039,,9.319,,
1834-05-01,20.039,,,,29.277,20.205,21.475,,24.644,18.517,25.033,29.398,10.505,11.612,,14.949,14.953,,,,14.484,,,20.093,,14.875,,16.162,19.496,20.093,,,,,,,22.146,25.396,25.396,,15.629,15.671,33.324,28.314,29.348,31.075,33.683,33.346,34.133,33.267,33.267,33.575,34.454,33.683,30.321,32.511,,,17.801,28.148,17.205,,,,,,18.534,,,,31.75,31.294,31.75,,,11.65,7.753,,,,,,,,,14.24,,22.444,,29.225,15.87,18.274,20.981,17.002,13.61,12.0,,14.131,,
1834-06-01,23.652,,,,27.731,16.793,18.67,,21.726,14.989,22.73,26.709,15.427,15.494,,20.291,17.24,,,,20.09,,,23.98,,19.796,,20.162,23.296,23.98,,,,,,,23.777,26.989,26.989,,17.609,18.377,31.147,25.422,27.956,28.933,32.953,29.837,32.713,31.751,31.751,32.056,30.676,32.953,26.983,30.102,,,21.888,31.978,20.261,,,,,,23.292,,,,32.892,31.24,32.892,,,15.401,12.641,,,,,,,,,19.135,,25.913,,27.605,18.402,20.531,23.193,18.65,15.862,16.302,,18.643,,
1834-07-01,25.76,,,,28.378,18.382,19.713,,23.038,16.57,23.087,26.211,20.247,20.616,,23.333,19.815,,,,23.081,,,26.315,,23.568,,22.505,25.224,26.315,,,,,,,25.429,27.672,27.672,,20.429,22.636,28.307,23.567,26.528,28.866,31.013,26.528,29.83,29.81,29.81,29.843,26.462,31.013,24.107,27.615,,,24.27,33.639,23.539,,,,,,25.089,,,,32.424,30.329,32.424,,,17.645,16.817,,,,,,,,,21.318,,27.902,,27.517,20.617,22.482,25.5,21.369,18.285,23.533,,23.326,,
1834-08-01,23.964,,,,27.804,18.578,20.524,,21.182,16.369,22.183,25.805,17.202,18.976,,21.142,18.503,,,,20.692,,,24.253,,22.009,,19.59,22.64,24.253,,,,,,,25.602,26.919,26.919,,19.509,20.532,26.788,23.841,25.976,28.097,29.136,25.91,27.784,28.173,28.173,29.43,25.14,29.136,23.557,26.475,,,22.519,33.145,21.946,,,,,,24.169,,,,30.695,28.686,30.695,,,18.298,18.178,,,,,,,,,20.28,,27.705,,26.932,20.755,22.364,25.131,21.075,17.33,23.541,,20.775,,
1834-09-01,20.347,,,,27.439,20.761,22.602,,21.462,18.192,22.98,26.147,13.149,13.758,,15.677,15.487,,,,14.904,,,20.16,,16.95,,15.017,18.703,20.16,,,,,,,25.045,25.64,25.64,,17.248,15.455,27.266,24.061,26.51,27.666,28.306,26.174,27.54,27.385,27.385,28.857,25.825,28.306,24.216,26.776,,,18.08,30.128,19.822,,,,,,23.468,,,,29.051,28.068,29.051,,,9.893,9.447,,,,,,,,,18.883,,24.92,,26.733,17.33,19.772,22.923,14.721,14.608,17.561,,16.153,,
1834-10-01,14.314,,,,25.295,20.513,21.914,,20.373,18.293,22.995,25.834,4.84,6.181,,5.72,10.138,,,,4.363,,,11.935,,8.068,,7.356,11.441,11.935,,,,,,,21.704,21.781,21.781,,11.394,9.203,26.527,23.663,27.042,25.206,25.039,24.992,25.182,24.03,24.03,27.281,24.183,25.039,23.645,25.844,,,11.828,23.032,12.523,,,,,,18.641,,,,24.412,26.538,24.412,,,4.749,5.027,,,,,,,,,12.311,,17.721,,25.791,9.835,13.449,17.106,6.665,10.409,11.63,,8.428,,
1834-11-01,9.276,,,,22.913,21.116,21.814,,21.512,19.873,24.492,26.067,-1.917,0.887,,-3.266,6.451,,,,-5.254,,,5.03,,0.469,,1.146,5.383,5.03,,,,,,,19.341,18.519,18.519,,6.93,4.463,24.426,23.332,27.531,22.588,20.528,23.366,21.285,19.738,19.738,25.551,21.452,20.528,22.457,23.885,,,7.522,16.777,7.952,,,,,,14.322,,,,19.029,23.939,19.029,,,-1.11,-0.767,,,,,,,,,7.386,,12.175,,25.858,5.546,10.504,14.711,1.441,6.241,7.99,,3.103,,
1834-12-01,3.979,,,,19.717,22.241,22.026,,24.034,21.814,25.503,24.781,-9.72,-5.297,,-12.78,1.983,,,,-15.327,,,-2.32,,-7.992,,-6.171,-1.557,-2.32,,,,,,,15.035,13.869,13.869,,4.025,2.2,20.898,22.789,26.101,19.684,15.781,22.406,16.903,15.604,15.604,24.607,19.345,15.781,20.802,20.956,,,2.313,10.525,2.076,,,,,,11.007,,,,13.75,19.453,13.75,,,-7.372,-4.167,,,,,,,,,3.896,,6.211,,24.947,-0.177,5.831,10.59,-3.215,4.976,1.977,,-2.288,,
1835-01-01,,,,,17.968,22.57,22.389,,25.153,22.327,26.221,23.978,-11.07,-5.866,,-16.043,0.848,,,,-18.791,,,-4.111,,-10.968,,-7.78,-3.168,-4.111,,,,,,,14.51,13.467,13.467,,2.861,1.063,19.784,22.715,24.436,18.108,14.636,22.616,15.939,14.534,14.534,24.126,19.152,14.636,20.553,20.313,,,,10.07,3.485,,,,,13.086,10.675,,,,12.713,18.309,12.713,,,-7.513,-4.571,,,,,,,,,3.902,,5.818,,25.371,-0.609,5.617,10.607,-4.52,3.172,2.472,,-3.81,,
1835-02-01,,,,,21.037,23.355,22.454,,26.587,23.001,26.368,25.344,-12.611,-11.11,,-11.91,2.824,,,,-14.115,,,-0.854,,-7.586,,-3.78,-0.059,-0.854,,,,,,,14.423,14.193,14.193,,5.359,2.882,21.567,24.138,23.787,21.397,17.09,24.814,18.259,17.406,17.406,25.215,21.346,17.09,22.312,22.478,,,,11.884,4.406,,,,,12.322,11.251,,,,14.612,20.22,14.612,,,-5.863,-4.257,,,,,,,,,5.232,,7.641,,26.47,1.406,6.408,10.716,-1.947,5.419,-5.107,,-4.937,,
1835-03-01,,,,,24.093,20.931,20.719,,24.047,20.227,24.668,27.133,-5.643,-3.183,,-4.285,5.642,,,,-5.754,,,4.097,,-1.165,,1.35,4.365,4.097,,,,,,,15.319,16.351,16.351,,5.786,4.053,25.226,26.29,24.676,24.847,21.628,27.796,22.598,22.053,22.053,27.266,25.017,21.628,25.286,26.0,,,,15.453,6.394,,,,,13.874,13.129,,,,18.69,23.721,18.69,,,-2.487,-2.734,,,,,,,,,6.933,,10.695,,27.365,4.715,7.35,11.316,1.111,5.432,3.398,,1.079,,
1835-04-01,,,,,26.663,19.901,20.71,,23.31,18.663,24.321,28.496,1.953,3.338,,6.361,10.612,,,,5.508,,,12.947,,7.729,,9.593,12.559,12.947,,,,,,,17.062,19.737,19.737,,8.959,7.403,29.407,26.511,26.199,28.044,27.805,29.992,28.498,27.89,27.89,28.796,29.784,27.805,27.701,29.272,,,,21.186,8.444,,,,,16.312,15.216,,,,25.221,27.437,25.221,,,3.965,0.629,,,,,,,,,9.498,,15.132,,28.267,8.652,10.032,13.282,6.873,7.824,5.982,,7.606,,
1835-05-01,,,,,26.881,18.264,19.718,,22.616,16.57,23.32,27.424,9.608,11.611,,13.284,13.422,,,,12.706,,,18.796,,13.392,,14.928,18.241,18.796,,,,,,,20.343,23.673,23.673,,12.948,12.637,31.569,26.489,27.588,28.601,31.833,31.358,32.315,31.244,31.244,31.602,32.429,31.833,28.496,30.71,,,,26.441,14.82,,,,,16.851,17.97,,,,30.165,29.705,30.165,,,9.65,6.224,,,,,,,,,13.005,,20.483,,27.494,13.498,15.595,18.492,13.867,11.205,12.757,,14.537,,
1835-06-01,,,,,27.216,17.008,18.54,,22.104,15.214,22.516,26.057,15.593,16.586,,19.183,16.579,,,,18.884,,,23.117,,18.856,,19.365,22.492,23.117,,,,,,,23.374,26.587,26.587,,16.767,17.252,30.347,24.385,27.07,28.419,32.258,28.884,31.977,31.078,31.078,30.988,29.878,32.258,26.086,29.275,,,,31.079,18.265,,,,,16.544,21.679,,,,32.206,30.467,32.206,,,15.461,14.18,,,,,,,,,16.984,,24.96,,26.926,17.657,19.877,22.761,18.575,15.223,17.213,,19.254,,
1835-07-01,24.888,,,,26.84,18.137,19.153,,22.943,16.335,22.45,24.997,18.359,18.972,,22.111,18.346,,,,21.879,,,24.96,,22.321,,21.091,23.851,24.96,,,,,,,24.103,26.437,26.437,,19.824,19.18,27.484,23.456,25.959,27.338,29.916,26.198,28.833,28.664,28.664,29.851,25.686,29.916,23.581,26.883,,,23.916,33.507,21.834,,,,,15.403,25.558,,,,31.396,29.412,31.396,,,16.482,15.456,,,,,,,,,22.28,,27.604,,26.334,20.296,21.726,24.152,19.381,17.57,21.466,,21.758,,
1835-08-01,22.713,,,,26.775,19.031,20.377,,21.922,16.842,21.891,24.768,16.05,17.06,,19.914,17.35,,,,19.427,,,23.15,,20.834,,18.513,21.552,23.15,,,,,,,24.906,26.303,26.303,,18.787,17.34,25.847,23.247,25.152,27.101,28.099,25.277,26.788,27.185,27.185,28.943,24.319,28.099,22.776,25.592,,,21.137,32.112,20.781,,,,,15.179,24.184,,,,29.568,27.635,29.568,,,12.168,12.214,,,,,,,,,20.643,,26.811,,25.821,19.362,20.617,23.965,15.369,17.3,21.187,,20.067,,
1835-09-01,18.399,,,,26.255,18.587,20.588,,19.212,16.012,21.005,24.803,10.569,11.564,,13.6,13.621,,,,12.796,,,18.07,,14.937,,12.929,16.64,18.07,,,,,,,22.707,23.5,23.5,,15.242,15.435,25.979,23.286,25.389,26.556,26.925,25.402,26.198,26.127,26.127,28.285,24.802,26.925,23.178,25.587,,,15.913,27.658,16.236,,,,,14.164,20.779,,,,27.422,26.571,27.422,,,9.493,10.735,,,,,,,,,15.787,,22.036,,25.198,14.012,16.324,19.812,12.034,13.913,15.411,,14.264,,
1835-10-01,13.445,,,,25.321,20.439,21.575,,20.426,18.227,22.593,25.454,7.65,8.441,,4.904,9.45,,,,3.589,,,10.937,,7.19,,6.343,10.44,10.937,,,,,,,22.753,22.588,22.588,,9.436,8.289,25.862,22.809,26.295,25.284,24.535,24.327,24.619,23.662,23.662,26.493,23.693,24.535,22.93,25.18,,,11.541,24.185,11.12,,,,,13.381,16.783,,,,23.722,25.789,23.722,,,3.625,5.086,,,,,,,,,10.086,,19.507,,25.228,12.115,15.477,18.494,7.012,8.626,12.494,,11.718,,
1835-11-01,6.82,,,,21.225,20.915,20.763,,21.716,19.699,23.235,24.12,-2.21,0.959,,-6.09,4.038,,,,-8.182,,,2.51,,-2.179,,-1.298,2.919,2.51,,,,,,,17.806,17.029,17.029,,4.93,0.688,22.527,22.098,25.845,21.006,18.522,22.156,19.322,17.909,17.909,24.598,19.925,18.522,20.886,22.116,,,5.437,15.57,3.963,,,,,11.683,12.782,,,,16.915,21.769,16.915,,,-5.631,-3.424,,,,,,,,,5.799,,10.868,,23.637,3.71,7.926,12.345,-3.69,5.872,5.241,,4.59,,
1835-12-01,1.978,,,,17.467,20.727,20.149,,22.694,20.312,23.537,22.512,-13.009,-7.03,,-15.119,-0.169,,,,-17.783,,,-4.108,,-10.164,,-7.84,-3.306,-4.108,,,,,,,13.465,12.192,12.192,,1.296,-0.509,18.78,21.22,24.168,17.486,13.521,20.777,14.698,13.413,13.413,23.211,17.42,13.521,18.937,18.93,,,0.71,8.975,1.028,,,,,10.378,8.451,,,,11.661,17.188,11.661,,,-14.626,-11.343,,,,,,,,,1.576,,4.674,,22.558,-1.908,3.776,9.077,-8.947,2.249,0.729,,-4.426,,
1836-01-01,,,,,17.401,22.66,21.976,,25.482,22.433,25.686,23.153,-11.527,-7.953,,-17.149,-0.072,,,,-19.961,,,-4.876,,-11.981,,-8.454,-3.908,-4.876,,,,,,,12.28,11.436,11.436,,1.876,-0.706,18.923,22.228,23.689,17.619,13.748,22.188,15.061,13.785,13.785,23.83,18.565,13.748,19.886,19.533,,,,8.004,0.531,,,,,12.255,9.671,,,,11.673,17.25,11.673,,,-10.835,-8.619,,,,,,,,,2.99,,3.077,,24.33,-4.11,1.875,7.573,-8.354,2.966,-0.843,,-3.985,,
1836-02-01,,,,,20.466,23.361,22.252,,26.692,23.014,26.116,24.82,-14.81,-11.172,,-13.294,1.763,,,,-15.544,,,-2.409,,-8.871,,-5.378,-1.569,-2.409,,,,,,,13.92,13.601,13.601,,2.785,1.232,21.139,23.95,23.442,20.84,16.585,24.577,17.784,16.911,16.911,25.084,20.97,16.585,21.99,22.086,,,,10.432,3.826,,,,,13.045,10.09,,,,14.073,19.738,14.073,,,-7.298,-6.088,,,,,,,,,3.415,,6.099,,25.923,-0.4,4.672,10.088,-4.309,3.025,-2.13,,-7.038,,
1836-03-01,,,,,25.203,22.896,22.375,,26.158,22.202,26.251,28.091,-6.944,-6.275,,-2.914,7.056,,,,-4.362,,,5.492,,0.166,,2.771,5.754,5.492,,,,,,,16.809,17.749,17.749,,8.662,7.612,25.835,26.004,24.977,25.902,22.519,27.682,23.381,22.901,22.901,26.754,25.419,22.519,25.499,26.475,,,,16.528,8.581,,,,,15.43,13.431,,,,19.779,24.543,19.779,,,1.0,-0.01,,,,,,,,,7.559,,12.185,,28.42,6.938,10.082,13.717,4.435,6.436,-1.064,,-1.0,,
1836-04-01,,,,,27.768,19.54,20.377,,22.936,18.301,23.995,28.978,1.741,3.753,,5.237,10.528,,,,4.189,,,12.275,,6.939,,9.061,12.015,12.275,,,,,,,17.275,19.761,19.761,,8.24,8.239,29.55,26.698,26.329,29.261,28.111,30.429,28.742,28.438,28.438,29.186,30.306,28.111,27.921,29.472,,,,20.719,9.34,,,,,17.022,14.52,,,,25.248,27.356,25.248,,,7.064,4.042,,,,,,,,,8.412,,15.128,,28.401,9.111,10.831,14.02,9.396,6.774,6.674,,7.091,,
1836-05-01,,,,,28.2,17.443,19.308,,21.6,15.736,23.009,28.317,10.923,12.247,,13.543,,,,,12.953,,,19.091,,13.672,,15.255,,19.091,,,,,,,20.176,23.756,23.756,,12.033,10.551,32.249,27.33,28.298,29.993,32.605,32.319,33.051,32.188,32.188,32.599,33.386,32.605,29.277,31.445,,,,27.242,11.85,,,,,16.936,17.08,,,,,30.199,,,,9.084,5.946,,,,,,,,,11.685,,20.526,,,13.096,14.686,17.442,11.641,11.151,13.122,,14.962,,
1836-06-01,,,,,28.683,17.105,18.848,,22.101,15.305,22.875,27.177,15.712,16.853,,19.754,17.358,,,,19.449,,,23.659,,19.436,,19.924,23.05,23.659,,,,,,,23.585,26.865,26.865,,17.633,17.217,31.297,25.417,28.032,29.952,33.282,30.048,32.973,32.243,32.243,32.151,31.058,33.282,27.105,30.265,,,,32.242,18.872,,,,,17.096,22.908,,,,33.139,31.276,33.139,,,13.349,11.263,,,,,,,,,18.656,,25.951,,27.842,18.29,20.208,22.777,17.155,15.649,16.811,,17.856,,
1836-07-01,,,,,27.904,18.553,19.723,,23.287,16.747,23.058,25.895,18.94,19.001,,23.107,19.301,,,,22.92,,,25.841,,23.243,,21.96,24.715,25.841,,,,,,,24.766,27.17,27.17,,19.052,17.514,28.185,23.806,26.535,28.398,30.754,26.658,29.621,29.528,29.528,30.144,26.368,30.754,24.136,27.54,,,,33.572,22.09,,,,,16.816,27.067,,,,32.104,30.152,32.104,,,15.786,14.0,,,,,,,,,22.999,,27.428,,27.213,19.584,20.835,24.175,17.4,16.638,21.49,,21.836,,
1836-08-01,,,,,28.19,19.46,20.825,,22.34,17.27,22.344,25.619,14.881,15.608,,20.566,18.513,,,,19.992,,,24.242,,21.617,,19.747,22.694,24.242,,,,,,,24.794,26.209,26.209,,18.371,16.226,26.148,22.757,25.161,28.539,28.773,25.114,27.318,27.979,27.979,28.384,24.687,28.773,22.765,25.808,,,,32.587,21.046,,,,,16.196,25.385,,,,30.199,27.984,30.199,,,14.571,13.236,,,,,,,,,21.464,,26.953,,26.525,19.479,20.664,23.73,16.241,15.756,20.028,,18.567,,
1836-09-01,,,,,27.765,18.841,21.094,,19.347,16.259,21.571,25.98,12.21,13.334,,14.682,14.664,,,,13.961,,,18.861,,15.881,,13.679,17.404,18.861,,,,,,,24.523,25.127,25.127,,13.84,13.269,26.848,23.741,26.104,28.086,27.999,26.044,27.193,27.279,27.279,28.716,25.728,27.999,23.888,26.414,,,,29.4,16.753,,,,,15.742,21.102,,,,28.486,27.452,28.486,,,9.502,8.747,,,,,,,,,15.5,,24.216,,26.278,16.564,18.713,21.96,12.407,12.009,17.553,,16.142,,
1836-10-01,,,,,26.459,20.447,21.942,,20.262,18.223,23.047,26.527,2.302,2.704,,7.014,10.712,,,,5.918,,,12.625,,8.918,,7.931,11.999,12.625,,,,,,,22.847,22.71,22.71,,10.671,10.595,26.905,23.873,27.342,26.434,25.589,25.415,25.67,24.744,24.744,27.583,24.781,25.589,23.988,26.232,,,,24.137,12.815,,,,,14.114,17.824,,,,24.826,26.81,24.826,,,5.783,6.271,,,,,,,,,11.233,,19.442,,26.262,12.331,16.109,19.143,9.58,8.952,7.702,,6.388,,
